MyBusiness;;;;;;
"
                    Codice
                  ";"
                    Tipo
                  ";"
                    Prodotto
                  ";"
                    Categoria
                  ";"
                    PV Medio
                  ";"
                    Resa
                  ";"
                    Ub.
                  "
SPILLATORI_7;Ricetta;SPILL BELLA ROSSA;SPILLATORI;26;1;pz
SPILLATORI_10;Ricetta;SPILL + CHE ROSSA;SPILLATORI;28;1;pz
CONCERTI_FOOD_4;Ricetta;SPIEDINI POLLO E PATATINE;BURGER 🍔;15;1;pz
STARTER_61;Ricetta;SPIEDINI DI POLLO PANATI;STARTER;13,4;1;pz
STARTER_30;Ricetta;SPICCHIO STRACCIATELLA E PICCADILLY;ZZZ ARCHIVIO FOOD;4,8;1;pz
STARTER_44;Ricetta;SPICCHI DI FOCACCIA;STARTER;6,4;1;pz
PACKAGING_6;Prodotto;SPESE DI CONSEGNA;PACKAGING;0,79;1;pz
SECONDI_CREMONINI_2;Ricetta;SOVRACOSCIA CREMONINI;MINI BRACE;0;1;pz
DESSERT_26;Ricetta;SORBETTO POMPELMO ROSA;ZZZ ARCHIVIO FOOD;5,8;1;pz
GELATI_22;Ricetta;SORBELLO;GELATI;2;1;pz
SML_CIOCCO;Sotto ricetta;SML_CIOCCOLATA CALDA;ZZZ ARCHIVIO FOOD;0;2,7;kg
SML_UOVO LAVORATO;Sotto ricetta;SML UOVO LAVORATO;SML IN USO;0;1;pz
SML_TRANCIO FOCACCIA BIANCA;Sotto ricetta;SML TRANCIO FOCACCIA BIANCA;SML IN USO;0;1;pz
SML_SUCCO LIMONE;Sotto ricetta;SML SUCCO LIMONE;SML IN USO;0;1;lt
SML_STRACCIA TARTUFO;Sotto ricetta;SML STRACCIATELLA TARTUFO;ZZZ ARCHIVIO FOOD;0;1,1;kg
SML_SALSA POMO;Sotto ricetta;SML SALSA POMODORO;SML IN USO;0;2,65;kg
SML_PATATE SPICCHIO;Sotto ricetta;SML PATATE SPICCHIO;SML IN USO;0;1,54;kg
SML_MOUSSE CANNOLO SCOPOSTO;Sotto ricetta;SML MOUSSE CANNOLO SCOPOSTO;SML IN USO;0;1,35;kg
SML_MOUSSE BELLA LODI;Sotto ricetta;SML MOUSSE BELLA LODI;SML IN USO;0;0,83;kg
SML_MAYO POMO;Sotto ricetta;SML MAYO POMODORI SECCHI;SML IN USO;0;2;kg
SML_MAYO BIRRA;Sotto ricetta;SML MAYO BIRRA;SML IN USO;0;1,14;kg
SML_GRANA CROC;Sotto ricetta;SML GRANA CROCCANTE;SML IN USO;0;0,2;kg
SML_GLASSA ALETTE;Sotto ricetta;SML GLASSA ALETTE;ZZZ ARCHIVIO FOOD;0;1;kg
SMLFUSILLI NORMA;Sotto ricetta;SML FUSILLI ALLA NORMA PRANZO;ZZZ ARCHIVIO FOOD;7,2;0,36;kg
SML_FUNGHI PORTOBELLO;Sotto ricetta;SML FUNGHI PORTOBELLO;ZZZ ARCHIVIO FOOD;0;0,52;kg
SML FIORDILATTE TORINO;Sotto ricetta;SML FIORDILATTE TORINO;ZZZ ARCHIVIO FOOD;0;3;kg
SML_EMULSIONE PESTO;Sotto ricetta;SML EMULSIONE AL PESTO;ZZZ ARCHIVIO FOOD;0;0,65;kg
SML_EMULSIONE FINOCCHIETTO;Sotto ricetta;SML EMULSIONE AL FINOCCHIETTO;ZZZ ARCHIVIO FOOD;0;0,35;kg
SML_EMULSIONE BASILICO;Sotto ricetta;SML EMULSIONE AL BASILICO;SML IN USO;0;1,1;lt
SML_CRUMBLE;Sotto ricetta;SML CRUMBLE SBRISOLONA;SML IN USO;0;7;pz
SML_CREMA ZUCCHINE;Sotto ricetta;SML CREMA ZUCCHINE;SML IN USO;0;1;kg
SML_CREMA GRANA TARTUFO;Sotto ricetta;SML CREMA GRANA TARTUFO;ZZZ ARCHIVIO FOOD;0;0,24;kg
SML_CREMA GRANA;Sotto ricetta;SML CREMA DI GRANA;ZZZ ARCHIVIO FOOD;0;1,3;kg
SML_CREMA BURRATA;Sotto ricetta;SML CREMA BURRATA;SML IN USO;0;1;kg
SML_CONTORNO BRACE;Sotto ricetta;SML CONTORNO BRACE;SML IN USO;0;5;pz
SML_MENAGE;Sotto ricetta;SML CONDIMENTI MENAGE;SML IN USO;0;1;pz
SML_CITRONETTE MENTA;Sotto ricetta;SML CITRONETTE MENTA E LIMONE;ZZZ ARCHIVIO FOOD;0;0,13;lt
SML CIOCCOLATO TORINO ;Sotto ricetta;SML CIOCCOLATO  TORINO;ZZZ ARCHIVIO FOOD;0;3;kg
SML_BIRRAMISù;Sotto ricetta;SML BIRRAMISù;SML IN USO;0;15;pz
SML BASE CHEESECAKE;Sotto ricetta;SML BASE CHEESECAKE;SML IN USO;0;16;pz
TRANCIO_3;Ricetta;SLICE MORTADELLA E BELLA LODI;ZZZ ARCHIVIO FOOD;9,8;1;pz
TRANCIO_4;Ricetta;SLICE FUNGHI E FIOR DI LATTE;ZZZ ARCHIVIO FOOD;9,8;1;pz
TRANCIO_2;Ricetta;SLICE CRUDO E PICCADILLY;ZZZ ARCHIVIO FOOD;9,12;1;pz
